GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
CDC20,9.5426619925623,5.82999599938476,5.88361945111768,5.5627717691189,5.25248594641007,5.56234361208444,5.22102255740286,5.81948164643836,4.93096690445345,4.83100784998923,4.6681866676929,4.02471509450799
CDKN1A,8.43381678215217,7.99125929878561,7.53790621576742,8.75672841026152,8.50553634554762,8.3806888674392,7.8524683529584,8.15099562716241,8.17515720770513,8.74291597223861,9.0040294605766,8.1541333621155
CREB1,7.609780198470825,6.406007296286814,6.179991133531426,7.102215397755603,6.719925783141439,6.512548774390354,6.54621905143938,6.6376777471473405,6.610951492566506,6.405886124129476,6.458187238599457,6.821937842494187
CSNK2B,10.3640961491749,8.7778433286284,9.03131732633151,10.2216342343477,9.71267828884453,9.5054209080116,9.58130672006061,9.58010277954886,10.0027159888251,8.81166226727097,9.80034520600589,9.86322011666638
CTSD,8.70840513172569,8.39938345379036,7.22606750427784,8.47304362594869,8.67902342430715,8.32207916525322,8.0217320404436,8.02107583792246,8.81224372113561,8.29451748317715,8.48175124797208,8.1199346846823
CYCS,7.445831288499963,6.204536338592564,5.967522832524954,7.6133652363410995,7.153862383619789,6.180761942028544,6.143580697401936,6.3540666149598595,6.530981942078739,6.4420359042706465,6.508621633513837,7.356030671745073
CYP3A4,4.44910032101793,5.229917068117722,5.262810509012278,4.50482964690843,4.831892803804646,4.777117068112136,5.024742795283022,4.8006303396584595,4.84145000393289,5.1481636450377435,4.878333037220168,5.1470245235122505
DAXX,7.87571746991086,7.471702450059485,6.91865933514617,7.66238864194896,7.78263971724399,7.72467381565559,7.50220248554386,7.449080190935556,7.7151606248974645,7.321560485998059,7.42572667573949,7.1024153432088895
DDR1,9.63633200823468,9.44200814116765,9.308974546399117,10.30354356463165,10.3165326445069,9.92017382158316,10.28782058371818,10.05582654666894,10.144648129539508,9.037920371180402,9.780657411546759,9.000677048596256
DIABLO,9.36845709851353,8.09560309384563,8.39425063990862,8.98312915647212,8.52828734114959,7.97669462325035,8.97891656025567,8.63120255092478,8.64930514041282,7.89494298512531,8.88602130587965,8.46821447435673
E2F1,6.584273595910595,6.526480879564405,6.708314357691995,5.733480796931885,6.211502310379445,6.85945081397216,6.3897322618873496,6.37241877189036,6.32847236464101,6.45686427356976,6.180270070005575,6.262910141823895
E2F4,7.617803207915175,7.25955704500987,8.02427142152407,7.189495842840035,7.4080135186278095,7.82665587386607,7.467628267166315,7.555154048560185,7.499551613426851,7.754982648017,7.768795130863941,7.706934155929295
EGFR,5.725906100044721,6.11437759395577,6.255488379686712,6.180937471049193,6.060568885188246,5.95820997920817,6.307548721889143,6.229758973122335,6.086195573871958,6.2411298838813645,6.386008666463841,6.486301444901086
EPHA2,6.08629584229058,5.86895009676532,5.48546943509236,6.54843465220892,6.39807618931135,5.7706364664997,5.98544466401104,5.65864104161282,5.78391444489017,5.97709274351062,5.97079514698506,6.29949531099082
ERBB2,6.774200267079554,5.730649015911317,5.7008171511035135,5.8915814227223,6.181437558195603,6.196278647708424,6.019169980556357,5.87795644159603,5.81219874845205,5.6059477670058095,5.726881387247779,5.439153993837987
